geoid,geoid20,year,denom_total_hh,med_hh_inc_adj,med_hh_inc
1400000US06037101110,6037101110,2022,1652,68972,68972
1400000US06037101122,6037101122,2022,1427,118859,118859
1400000US06037101220,6037101220,2022,1372,65139,65139
1400000US06037101221,6037101221,2022,1549,53348,53348
1400000US06037101222,6037101222,2022,1006,36779,36779
1400000US06037101300,6037101300,2022,1517,121490,121490
1400000US06037101400,6037101400,2022,1522,85945,85945
1400000US06037102103,6037102103,2022,788,65250,65250
1400000US06037102104,6037102104,2022,1393,106250,106250
1400000US06037102105,6037102105,2022,575,92917,92917
1400000US06037102107,6037102107,2022,1248,97778,97778
1400000US06037103101,6037103101,2022,985,125694,125694
1400000US06037103102,6037103102,2022,1740,84750,84750
1400000US06037103201,6037103201,2022,1656,84281,84281
1400000US06037103202,6037103202,2022,680,112491,112491
1400000US06037103300,6037103300,2022,1390,133333,133333
1400000US06037103401,6037103401,2022,1067,96884,96884
1400000US06037103402,6037103402,2022,1477,113393,113393
1400000US06037104103,6037104103,2022,886,107614,107614
1400000US06037104105,6037104105,2022,1621,58897,58897
1400000US06037104108,6037104108,2022,1346,62639,62639
1400000US06037104124,6037104124,2022,1376,76071,76071
1400000US06037104201,6037104201,2022,901,93726,93726
1400000US06037104203,6037104203,2022,1155,65000,65000
1400000US06037104204,6037104204,2022,744,75179,75179
1400000US06037104310,6037104310,2022,958,87463,87463
1400000US06037104321,6037104321,2022,887,36649,36649
1400000US06037104322,6037104322,2022,460,72188,72188
1400000US06037104401,6037104401,2022,665,69306,69306
1400000US06037104403,6037104403,2022,605,89653,89653
1400000US06037104404,6037104404,2022,765,80556,80556
1400000US06037104500,6037104500,2022,647,71058,71058
1400000US06037104610,6037104610,2022,716,84107,84107
1400000US06037104620,6037104620,2022,722,81316,81316
1400000US06037104701,6037104701,2022,953,49844,49844
1400000US06037104703,6037104703,2022,670,48229,48229
1400000US06037104704,6037104704,2022,1262,56512,56512
1400000US06037104821,6037104821,2022,772,69423,69423
1400000US06037104822,6037104822,2022,659,48278,48278
1400000US06037104823,6037104823,2022,729,81406,81406
1400000US06037104824,6037104824,2022,510,88088,88088
1400000US06037106010,6037106010,2022,941,125556,125556
1400000US06037106020,6037106020,2022,1328,115282,115282
1400000US06037106111,6037106111,2022,1445,124375,124375
1400000US06037106112,6037106112,2022,1431,109333,109333
1400000US06037106113,6037106113,2022,1047,111861,111861
1400000US06037106114,6037106114,2022,1803,75179,75179
1400000US06037106403,6037106403,2022,883,91364,91364
1400000US06037106405,6037106405,2022,1222,86159,86159
1400000US06037106406,6037106406,2022,1984,99298,99298
1400000US06037106407,6037106407,2022,915,34360,34360
1400000US06037106408,6037106408,2022,1080,54259,54259
1400000US06037106510,6037106510,2022,1716,113750,113750
1400000US06037106520,6037106520,2022,1497,90292,90292
1400000US06037106603,6037106603,2022,1200,135368,135368
1400000US06037106604,6037106604,2022,1258,63976,63976
1400000US06037106641,6037106641,2022,782,114444,114444
1400000US06037106642,6037106642,2022,1194,137426,137426
1400000US06037106643,6037106643,2022,1468,197411,197411
1400000US06037106645,6037106645,2022,1300,128382,128382
1400000US06037106646,6037106646,2022,996,120865,120865
1400000US06037106648,6037106648,2022,1198,68583,68583
1400000US06037106649,6037106649,2022,681,101528,101528
1400000US06037107010,6037107010,2022,793,82109,82109
1400000US06037107020,6037107020,2022,1231,81625,81625
1400000US06037108101,6037108101,2022,787,150000,150000
1400000US06037108102,6037108102,2022,1221,125540,125540
1400000US06037108103,6037108103,2022,1028,149118,149118
1400000US06037108104,6037108104,2022,596,150550,150550
1400000US06037108202,6037108202,2022,3607,164905,164905
1400000US06037108203,6037108203,2022,1200,134917,134917
1400000US06037108204,6037108204,2022,651,169178,169178
1400000US06037109100,6037109100,2022,930,81500,81500
1400000US06037109200,6037109200,2022,1123,119917,119917
1400000US06037109300,6037109300,2022,971,112738,112738
